key,pharmacy-id,drug-id,price
1,461,1,12100.0
2,13,1,11789.0
3,137,2,
4,118,3,625.0
5,13,3,650.0
6,13,4,555.0
7,387,5,420.0
8,118,5,470.0
9,13,5,1285.0
10,13,6,265.0
11,118,7,850.0
12,387,7,895.0
13,13,7,1185.0
14,137,7,
15,13,8,2575.0
16,13,9,80.0
17,461,10,1485.0
18,434,10,1460.0
19,399,10,1365.0
20,389,10,1350.0
21,87,10,1360.0
22,87,10,1360.0
23,118,10,1390.0
24,424,10,1390.0
25,387,10,1400.0
26,370,10,1410.0
27,424,10,1420.0
28,424,10,1420.0
29,266,10,1420.0
30,406,10,1420.0
31,163,10,1430.0
32,164,10,1445.0
33,77,10,1450.0
34,424,10,1450.0
35,145,10,1480.0
36,458,10,1490.0
37,160,10,1500.0
38,131,10,1500.0
39,424,10,1510.0
40,117,10,1550.0
41,431,10,1550.0
42,164,10,1555.0
43,128,10,1600.0
44,430,10,1610.0
45,429,10,1610.0
46,258,10,1630.0
47,13,11,765.0
48,13,12,1970.0
49,434,13,960.0
50,434,14,960.0
51,434,15,960.0
52,434,16,960.0
53,434,17,960.0
54,434,18,960.0
55,164,20,6750.0
56,434,21,12660.0
57,434,22,
58,77,23,7970.0
59,424,23,7970.0
60,424,23,7970.0
61,77,24,6160.0
62,424,24,6160.0
63,424,24,6160.0
64,77,25,10590.0
65,424,25,10590.0
66,424,25,10590.0
67,77,26,11600.0
68,424,26,11600.0
69,424,26,11600.0
70,77,27,5350.0
71,424,27,5350.0
72,424,27,5350.0
73,77,28,4450.0
74,424,28,4450.0
75,424,28,4450.0
76,424,29,4450.0
77,424,29,4450.0
78,77,30,5750.0
79,424,30,5750.0
80,424,30,5750.0
81,424,31,4440.0
82,424,31,4450.0
83,77,32,4450.0
84,424,32,4450.0
85,424,32,4450.0
86,77,33,5150.0
87,424,33,5150.0
88,424,33,5150.0
89,77,34,5500.0
90,424,34,5550.0
91,424,34,5550.0
92,77,35,5250.0
93,424,35,5250.0
94,424,35,5250.0
95,77,36,4450.0
96,424,36,4450.0
97,424,36,4450.0
98,424,37,4440.0
99,77,37,4450.0
100,424,37,4450.0
101,77,38,3730.0
102,424,38,3730.0
103,424,38,3735.0
104,77,39,4450.0
105,424,39,4450.0
106,424,39,4450.0
107,77,40,6860.0
108,424,40,6860.0
109,424,40,6860.0
110,399,41,2964.0
111,164,41,2900.0
112,164,41,2970.0
113,434,42,5555.0
114,164,42,5580.0
115,164,42,5715.0
116,164,43,1955.0
117,164,43,2125.0
118,434,44,4440.0
119,399,44,4560.0
120,164,44,4570.0
121,164,45,2075.0
122,164,45,2125.0
123,434,46,6215.0
124,399,46,4863.0
125,164,46,4900.0
126,164,46,6400.0
127,164,47,6400.0
128,434,48,6440.0
129,399,48,8024.0
130,164,48,6625.0
131,399,49,2651.0
132,164,49,2595.0
133,164,49,2660.0
134,434,50,2795.0
135,164,50,2875.0
136,399,51,4025.0
137,164,51,4685.0
138,434,52,5335.0
139,399,52,5474.0
140,164,52,5490.0
141,434,53,2795.0
142,434,54,4220.0
143,399,54,4333.0
144,164,54,3900.0
145,164,54,4345.0
146,434,55,5310.0
147,164,55,5465.0
148,434,56,3995.0
149,164,56,4115.0
150,164,57,9145.0
151,164,57,9370.0
152,399,58,3646.0
153,164,58,3570.0
154,164,58,3660.0
155,434,59,9105.0
156,164,59,9145.0
157,164,59,9370.0
158,164,60,3570.0
159,434,61,9105.0
160,399,61,9262.0
161,399,62,3646.0
162,164,62,3570.0
163,434,63,4665.0
164,164,63,4800.0
165,434,64,5830.0
166,164,64,5860.0
167,164,64,6000.0
168,399,65,3646.0
169,164,65,3655.0
170,164,66,6500.0
171,434,67,14580.0
172,164,67,15000.0
173,434,68,14580.0
174,164,68,15000.0
175,434,69,12150.0
176,164,69,12500.0
177,434,70,3645.0
178,399,70,4560.0
179,164,70,3660.0
180,399,71,7646.0
181,164,71,7320.0
182,434,72,5335.0
183,164,72,5490.0
184,434,73,5335.0
185,164,74,5360.0
186,399,75,8580.0
187,164,75,8750.0
188,434,76,8440.0
189,164,76,5580.0
190,164,76,8685.0
191,434,77,9720.0
192,164,77,10000.0
193,434,78,5555.0
194,399,78,5701.0
195,164,78,5580.0
196,164,78,5715.0
197,434,79,7380.0
198,164,79,7410.0
199,164,79,7595.0
200,434,80,7290.0
201,164,80,7500.0
202,399,81,9034.0
203,164,81,8920.0
204,434,82,7290.0
205,164,82,7500.0
206,164,83,2595.0
207,164,83,2660.0
208,434,84,10215.0
209,399,84,10388.0
210,164,84,8750.0
211,434,85,5555.0
212,164,85,5715.0
213,434,86,5330.0
214,399,86,5474.0
215,164,86,5335.0
216,164,86,5465.0
217,164,87,2075.0
218,164,87,2875.0
219,434,88,6660.0
220,399,88,6095.0
221,164,88,6030.0
222,164,88,6175.0
223,434,89,18835.0
224,164,89,19375.0
225,434,90,2430.0
226,164,90,5000.0
227,164,91,2595.0
228,434,92,5995.0
229,399,92,5212.0
230,164,92,6170.0
231,434,93,10220.0
232,399,93,10388.0
233,164,93,10515.0
234,164,94,6025.0
235,434,95,10215.0
236,164,95,10510.0
237,164,96,2625.0
238,399,97,4787.0
239,164,97,4800.0
240,164,98,8750.0
241,434,99,4665.0
242,399,99,4787.0
243,164,99,4685.0
244,164,99,4800.0
245,434,100,5555.0
246,399,100,4106.0
247,164,100,4015.0
248,164,100,5715.0
249,434,101,4220.0
250,399,101,4333.0
251,164,101,3660.0
252,164,101,3750.0
253,399,102,4560.0
254,164,102,4460.0
255,164,102,5375.0
256,434,103,3645.0
257,164,103,3660.0
258,164,103,3750.0
259,434,104,9965.0
260,164,104,4685.0
261,434,105,5225.0
262,164,105,5375.0
263,164,106,5580.0
264,164,106,5715.0
265,399,107,5701.0
266,434,108,4860.0
267,434,109,5225.0
268,164,110,810.0
269,258,111,500.0
270,131,111,500.0
271,258,112,3750.0
272,399,113,919.0
273,391,114,
274,391,114,
275,258,115,1050.0
276,434,116,1280.0
277,424,117,4070.0
278,77,117,4540.0
279,77,118,5840.0
280,424,119,6420.0
281,424,119,6480.0
282,424,119,6500.0
283,77,119,7230.0
284,424,120,5190.0
285,424,120,5230.0
286,77,120,5840.0
287,424,121,4320.0
288,424,121,4360.0
289,424,121,4360.0
290,424,122,4320.0
291,424,122,4360.0
292,77,122,4860.0
293,77,123,4860.0
294,424,124,3490.0
295,77,125,7430.0
296,434,126,
297,434,127,5930.0
298,434,128,
299,434,129,36955.0
300,434,130,11340.0
301,434,131,
302,434,132,13235.0
303,434,133,7545.0
304,434,134,
305,434,135,3750.0
306,434,136,4955.0
307,434,137,11465.0
308,434,138,
309,434,139,
310,434,140,
311,434,141,
312,434,142,6595.0
313,434,143,
314,434,144,16140.0
315,434,145,
316,434,146,8490.0
317,434,147,8020.0
318,434,148,7440.0
319,399,148,7247.0
320,434,149,6165.0
321,399,149,6010.0
322,434,150,15315.0
323,399,150,15067.0
324,434,151,7580.0
325,399,151,7457.0
326,434,152,11330.0
327,399,152,11145.0
328,434,153,17240.0
329,399,153,16959.0
330,434,154,
331,399,154,10461.0
332,434,155,13835.0
333,399,155,13608.0
334,399,156,12491.0
335,434,157,9300.0
336,399,158,13751.0
337,434,159,4495.0
338,434,160,9725.0
339,399,161,8773.0
340,434,162,21965.0
341,434,163,
342,399,164,7702.0
343,434,165,15805.0
344,399,165,15551.0
345,258,166,1880.0
346,258,167,1110.0
347,258,168,680.0
348,258,169,620.0
349,434,170,9725.0
350,434,171,5645.0
351,434,172,
352,434,173,13930.0
353,434,174,18135.0
354,434,175,27320.0
355,434,176,30255.0
356,164,177,5880.0
357,424,178,11000.0
358,424,178,11000.0
359,424,179,5200.0
360,424,180,7600.0
361,424,181,670.0
362,164,182,470.0
363,429,182,480.0
364,430,182,500.0
365,458,182,540.0
366,458,183,26500.0
367,458,184,13000.0
368,13,185,2585.0
369,434,186,1900.0
370,387,186,1570.0
371,118,186,1605.0
372,258,186,1820.0
373,434,187,2720.0
374,118,187,1925.0
375,434,188,2785.0
376,163,188,2380.0
377,118,188,2450.0
378,145,189,875.0
379,434,190,7500.0
380,118,190,5380.0
381,434,191,7285.0
382,164,192,6750.0
383,399,193,1875.0
384,399,194,1875.0
385,399,195,1875.0
386,399,196,1875.0
387,399,197,1980.0
388,399,198,1875.0
389,399,199,1490.0
390,399,200,1625.0
391,399,201,2155.0
392,399,202,2155.0
393,399,203,1845.0
394,399,204,1845.0
395,399,205,1845.0
396,399,206,2855.0
397,399,207,2890.0
398,399,208,1735.0
399,399,209,1735.0
400,399,210,1735.0
401,399,211,1630.0
402,399,212,1805.0
403,399,213,1770.0
404,399,214,1975.0
405,399,215,1975.0
406,399,216,1655.0
407,399,217,2120.0
408,399,218,2120.0
409,399,219,2120.0
410,399,220,3890.0
411,399,221,2120.0
412,434,222,290.0
413,434,223,215.0
414,434,224,465.0
415,434,225,615.0
416,434,226,545.0
417,434,227,760.0
418,434,228,760.0
419,434,229,760.0
420,434,230,760.0
421,461,235,5415.0
422,434,235,6520.0
423,13,235,3985.0
424,258,235,6020.0
425,434,236,5205.0
426,258,236,4320.0
427,461,237,5610.0
428,434,237,6750.0
429,434,238,6750.0
430,13,238,3205.0
431,164,238,5595.0
432,87,238,5610.0
433,258,238,6240.0
434,434,239,5130.0
435,391,239,
436,461,240,4485.0
437,434,240,5400.0
438,434,241,4580.0
439,258,242,1320.0
440,137,243,
441,118,244,2470.0
442,458,244,2550.0
443,118,245,2470.0
444,118,246,2325.0
445,118,247,2325.0
446,118,248,1255.0
447,118,249,2565.0
448,118,250,910.0
449,118,251,1135.0
450,434,252,1480.0
451,434,253,1645.0
452,434,254,1580.0
453,434,255,2385.0
454,434,256,2385.0
455,434,257,2385.0
456,434,258,2385.0
457,434,259,2385.0
458,434,260,2385.0
459,434,261,2385.0
460,434,262,1775.0
461,434,263,1775.0
462,434,264,3055.0
463,434,265,3665.0
464,434,266,3055.0
465,434,267,
466,434,268,3055.0
467,434,269,1650.0
468,434,270,190.0
469,77,270,220.0
470,424,270,230.0
471,434,271,1495.0
472,434,272,1495.0
473,434,273,1495.0
474,434,274,3300.0
475,434,275,5500.0
476,399,275,5131.0
477,389,275,5120.0
478,118,275,5270.0
479,266,275,5325.0
480,387,275,5400.0
481,406,275,5450.0
482,430,275,5660.0
483,431,275,5660.0
484,145,275,5670.0
485,77,275,5700.0
486,424,275,5700.0
487,424,275,5700.0
488,87,275,5710.0
489,87,275,5710.0
490,424,275,5800.0
491,424,275,5800.0
492,164,275,6045.0
493,117,275,6100.0
494,258,276,980.0
495,258,277,940.0
496,258,278,1010.0
497,164,279,9500.0
498,424,280,15900.0
499,424,281,7200.0
500,434,286,1755.0
501,164,286,1560.0
502,434,287,2365.0
503,434,288,2520.0
504,434,289,3080.0
505,434,290,3195.0
506,434,291,3470.0
507,434,292,3195.0
508,434,293,2650.0
509,434,294,2570.0
510,434,295,1620.0
511,434,296,4325.0
512,434,297,1595.0
513,399,297,1379.0
514,258,297,1690.0
515,434,298,1215.0
516,258,298,1340.0
517,434,299,1350.0
518,434,300,1715.0
519,258,301,1430.0
520,434,302,1485.0
521,258,302,1580.0
522,258,303,1430.0
523,77,304,960.0
524,77,305,750.0
525,118,306,7335.0
526,87,306,8200.0
527,461,307,11110.0
528,118,307,10360.0
529,429,307,10890.0
530,434,308,3315.0
531,137,309,
532,137,310,
533,424,311,3775.0
534,164,318,6750.0
535,164,319,7165.0
536,461,320,2835.0
537,399,320,2490.0
538,266,320,2480.0
539,118,320,2590.0
540,389,320,2590.0
541,387,320,2670.0
542,424,320,2690.0
543,406,320,2750.0
544,424,320,2810.0
545,424,320,2820.0
546,430,320,2830.0
547,431,320,2840.0
548,429,320,2880.0
549,77,320,2900.0
550,424,320,2900.0
551,164,320,3025.0
552,258,320,3130.0
553,137,320,
554,391,320,
555,391,320,
556,391,320,
557,391,320,
558,118,321,2130.0
559,406,322,3090.0
560,164,322,3120.0
561,434,323,
562,434,324,13240.0
563,434,325,
564,461,326,3140.0
565,434,326,3730.0
566,13,326,2995.0
567,424,326,3075.0
568,258,326,3480.0
569,13,327,5200.0
570,461,328,5805.0
571,77,328,4450.0
572,424,328,4510.0
573,424,328,5690.0
574,429,328,5780.0
575,424,328,6500.0
576,389,328,6550.0
577,266,328,6580.0
578,391,328,
